แต่|พี่|ให้|หลาย|ข้อ,พี่ให้??
สันติสุข,อ่าเคๆ
อยาก|ดู|เรื่อง|อะไร|อ่ะ,ไม่ตื่น,ลิมิตอ่า,เหอะน่า,ดูดิ,ม่ายรุ,หนังเก่า,รัก 7 ปี,อะตอม,หึ,ทุกอย่าง,แฟรงเก้น,แข็ง เหลว,แปบนะ,สโนไวท์,ป่าวๆ,ละครร555,เมดากะ,ไปละ,ลูเปอ
ทำไม|ต้อง|คิด|แบบ|นั้น|ตลอด,ก็จำผิดนิ
พรุ่งนี้|ฝ้าย|ไป|มอ|ป่ะ,ป่าวจ้า
ย้าย|ไป|แถว|ไหน|อ่ะ,หาเเถวนี้อะ
สถานะ|นั้น|คือ|อะไร|นั่น,ฉากใหญ่,ป่าว
อยาก|กลับบ้าน|มั่ง,เอ้า
สั่ง|ออนไลน์|เอา,สั่งไง
จะ|กลับบ้าน|วัน|ไหน|นะ,เหนื่อย
เรา|ว่า|ออก|นั้น|แห,น่าจะนะ
ไม่มีใคร|ว่าง|เที่ยว|ด้วย|เลย,คถ  เพื่อน 
พอดี|น้อง|เค้า|อยากได้|แนว|น่ะ,อ่อจ้า
พัน|บาง|แก้ว|อ่ะ,อ่ออออ
แล้ว|หาย|เจ็บ|ขา|หรอ,แล้ววว
ก็|ขอโทษ|ด้วย|นะ,55555คิดมาก,ฝันดี,หา,ไม่เปนไรร
เซน|สอง,อ่อวว
แล้วก็|ทำ|นิสัย|แปลก|สัก|อย่าง,อะไรๆ,อยากได้
เด๋ว|หา|ลิงค์|ไว้|ให้,อ่า,ลิงไรหยออ
แอบ|ฟัง|ก่อน|ถาม|ป่ะ|เนี่ย,ไม่อ่ะ
นั้น|อยู่|หอ|หรอ,จ้าาาา,ช่าย
พี่|เค้า|หาย,กรรม
ยัง|มี|ชีส|หรือ|หนังสือ|มั้ย,ใหน้อง
ไม่|ไป|นอน|ว้า,อ่านแคล
แทนที่จะ|ให้|เปิดไฟ,โคมไฟ
ขีด|แบบ|นั้น|อ่ะ,กุไม่รู้
เข้า|โรง|เป็น|กับ|เค้า|ด้วย,เป้นดิ้ -..-
ทำ|เจ|ยัง,ยังง
ไม่|อ่ะ|ชั่ง|นาน|ละ,เสียใจจจจ,คือกัน,ใครถาม,ไม่เกิน50
สมัคร|ได้|ยัง,ได้แล้ว
สั้น|ได้|อีก,เนอะ
คุย|สักนิด,คุยมา
ที่|ส่ง|ให้|ใน|แชท|ไง,อ่ออออ
นอน|ไว|แฮะ,ยังค่ะะะ
ไม่มี|ตั้งแต่แรก|ละ|นะ,มีเถอะะะ,ง่าส,หรอ
มี|คน|ต่อ|ก็|อ่ะ,เเนลไหน,ยัง,อ่า
สอบ|เสร็จ|แล้ว|ไม่ใช่|หรอ,ฮ้าบบ,แล้ว,ยังง,ค่ะ,ช่าย
มา|แทน|ฟิว|เลย,เหย
หลับ|อีก|ละ,-0- ง่า
ลอง|แระ,ใช่ๆ
เภสัช|อ่ะ|นะ,ไปอาบน้ำไป
สอบ|หน้า|นี้|ล่ะ,อีก2 วัน
อ่า|พน|มี|เรย|ใช่|ป่ะ,ค่ะ
หิว|เลย|เรา,กินซะๆ 5555,กินนสิ
ช่วงนี้|เล่น|อะไร|กัน|อ่ะ,แรคเถื่อน,แมวหรอ,แฮะๆ,อื้อ
เตรียมตัว|ลง|ไป|กลิ้ง|ได้|เลย,อ้าวๆๆ,ไม่มีทาง
อย่างน้อย|ก็ได้|เจอ|เพื่อน|คนอื่นๆ,ใช่
กว่า|มี|ใหม่,5555ม่ายๆ
กิน|เอา|สุขภาพ|เฉย,กินไมมมททท
อิ่ม|ม.|ตอบ|อะไร|ผิด|ป่าว,ผิดก็ได้
แถว|บ้าน|บิ|ฝนตก|ป่ะ,ไม่นะ
มา|เล่นหุ้น|กาน,หุ้นพ่อง
พอ|เก|แระ,เสียดานๆ
มาย|ลง|ค่าย|เจ|ด้วย|หรอ,ช่าย
วิศวะ|กรรม|ภาค|ไฟฟ้า|สื่อสาร|อ่า,อ่อค่ะๆ
ว่าง|ยุ|แหละ,555ยู้ก็ว่างง
สู้|หน่อย,โห่วววว
อืมม|เข้าใจ,รอได้
งาน|แม่|ไม่ได้|มา|สักที,ง้อว
เห็น|ว่า|ฮา|หรอ,มากกก,มากกกกก
ช่วงนี้|ฝึก|เล่น|เพลง|ด้วย,กีต้าหรอ
ดอท|อ่ะ|หรอ,ไม่ๆ
เตรียม|ดู|ได้|เลย|หึหึ,อ่านมะ,ไม่เห้น55
อ่ะ|รื้อ|แปป,จ้าา
อ่าน|ของ|ตัวเอง|ยุ,อ๋อ
ดอท|ป่า,มา
ถ้าว่า|งก|อยาก|ไป,อ่าาๆ,แบร่ๆ,ใช่ค่ะ
เวอร์|ไป|แระ,เด็กน้อย,ถึงงงงงงงงงงง
ตอน|เช้านี้|มา|จริง,ดุก่อน
เอ้|ก็|บอก|ละ|นะ,งง
วิชา|อื่น|เต็ม|ล่ะ|สิ,ไม่เตมมม
กลับ|หอ|แหละ,คับ
ไม่มี|โจ้,กรี๊ดดดดด
ยุ|มา|เถียง|เรา|เฉย,มายยยย
ตา|ใหม่|รอ|ด้วย|ละ|กัน,เหยอ,แปปครับ
ใช้|ไฟล์,ลิ้งสมัครอะ
แล่|ก่อน,เออ
เหมือน|จะ|ไม่ได้|เป็น|ของ|มหาลัย,เจอละ
ยัง|แข่ง|ยุ,สู้ๆ
มี|ทุก|วิชา|เลย|หรอ,ใช่ๆ
ยัง|พอ|เข้าใจ,อ่าฮะ,อืมๆ
เด๋ว|จะ|ไป|รอ|วอ|ต่อ,ตกลงว่า....
โดย|เรา|กำหนด|บรรทัด|แรก,หมายถึง
เด๋ว|ช่วย|ดูๆ,ดูไรอะ
วันนี้|ไม่|ไปเที่ยว|ไหน|หรอ,ไม่อ่ะ
อยู่|บ้าน|ยาว|แล้ว|สิ|นะ,55555555 ใช่ๆ
ไม่|อยาก|ละ,เชอะ
ฝันดี|ล่วงหน้า|เลย|ละ|กัน,มาๆเวส,เล่นบริจด์อ่อ ????,อืม,จ้า,ง่ะ
ก็|เล่น|ไป|เรื่อย|อ่ะ,อื้อ,อ่าห้ะๆ
งั้น|ไม่|ไป|แระ,อ่าๆ ตามใจ 
ไม่ได้|ยิน|ราย,เสียงสิ
เห็น|ใน|บน|คับ,อ๋อ คริๆ ><
ไม่|จบ|กับ|มือ|กลอง|จิงๆ,อ่าววว,มี,โป้งงงงง,น่ะ,อะเช,เคคับ,อย่าๆ 55,เเบบ,ดีกว่า,เดินแปลกๆ,แง่งงง,สีไหน,ถามแม่,กาก,หงอ,อะเชชช ,หึ,ชอบบบบ =///=,อะเคร,กำ,ถุย,พอ,โด่วววว
ฟัง|รอ|แล้ว|หลับ|เนี่ย|นะ,ไงต่อ,อื่อ มันเพลิน,ออ,โมโห,รอคืนนี้,ทำไร,รอไร,อ่า
อ่า|ไม่มี|อะไร|ก็ดี|ละ,ช่างมันๆ,อื้อ
รอ|ฟัง|ผล|แอด|หรอ,ใช่ค่ะ
ลืม|เถอะ|ไม่มี|อะไร,ก็ได้ๆ
ก็|น้อง|ใน|ชมรม|อ่ะ,เเอาไ,อืมเค
อยาก|มี|อะไร|ทำ|บ้าง|แฮะ,เอ้าา
แต่|แพง|กว่า|เยอะ|ยุ,หรอ
คุย|กับ|เพื่อน|ใน|ห้อง|น่ะ,อ่าฮะ,อ๋อค่ะ,ป่าวค้า,ช่ายยย
นั้น|เล่น|กับ|มือถือ|หรอ,ค่ะ
อืมม|โอเค,ฟิว
แค่|ชื่อ,ทำราย
แต้|งก|วว,ฟูเรียยย,ได้ๆ,ฟิว,จ้า,เพราะมะ,จ้าๆ,ฮับบ,จ้าา
ไป|ซ้อม|มา,โห้ย 55555,อ่าๆ
ทุ่ม|ว่าง|ป่าว,ไม่
เพ้อเจ้อ|ไร|หน้า|วอ,ไรนะ
ตื่น|แร้ว,อื้อ
นอน|บ้าน|ย่า|เลย|หรอ,งับ,จ้าา,คะ
ช่วงนี้|เปิดเทอม|แล้ว|หรอ,ช่ายแล้ว
เรื่อง|มอด|ยัง|นะ,ช่าย
สมัคร|ผ่าน|ยัง|อ่ะ,อือ
ก็|เลย|น่าจะ|ได้|ไป|บ่อย,อ๋อ
ความดันเลือด|ต่ำ|แล้ว|ม้าง,ไมอ่ะ
เพลง|เพราะ|มาก|กก,อ้อออ,อ่าา
ได้|สมุด|ร้องเพลง|ยัง|อ่ะ,ยังงง
มี่|เทอม|สอง|ยัง|อ่ะ,ยังๆๆ
เดี๋ยว|ไว้|สอน|ทีละ|นิด|ไป,ครับผม
เห็น|ออน|ตี|สี|ด้วย|น่ะ,ใช่อ้อ
ไม่|หิว|หรอ,ไม่อ่า 55
อะไร|ก็|เป้|ไป|ได้|ฮ่า,อ่านะ
โอเค|ขอ|คุณ|นะ,จ้า
แป่ว|อ่าน,โหล่,เง้อเว่อ,หรอ,เซ็ง,อ่ออออ,รู้งี๊ดู สเต็ปอัพ,ด่วนๆๆ,เล่นอยุๆ,บ้าๆยแๆดี,นะอ่า,วิชาไร,เบื่อเบื่ออออ,ฟิวอ่าา,เรียบร้อย,อะรายย,คลาดกัน,แก,เป็นไร,อ่าา,ทำไม,ไมต่้องอ่านะ,นายล่ะ ,*หลับ,อ่า,กำ,ค่า,ฟิววววววว,พี่,อุอิ,เปนไง,ละก้องอนนน,เมเด็กดี :3,น่ารักดี,124 แล้ว,ดูๆ,โอ้ย เยอะ,ไปล่ะๆๆๆ,อ้าว ฮ่าๆๆ,โอเค,โกดม่ะ 555,5555เอะอะก้ดอทท,ฟิวทำไรรร,อายุ 11,อ๋อ555,ทำไมอ่า,จิงๆนะ,เดียวผม,คนดีๆ,ขมติดคอ -0-,อืม,อินนนน,คุยได้,มีคาบพน,มอนิ่งๆๆ,ส่งแระ,ค่ะะ,ทำไมม 555,ฟิว,ค่ะ,พี่อ่???,จิงงงๆ,อ่าจ้า,นั่นแหละๆๆ,จ้าา,ทำมายยยย,ม่ายมี,ฝันดีนะๆ,จ้าาาาา,ยุบ้านๆ,เหงาจัง,คุยอะ,หิวแหะ,พี่อ่ะ ?,ลองหาดู,มันไบว่ควยคุม,ดังละ55555,จิงๆๆ,จ้า,บายยยย,ทำรัยยุคะ,อ่าฮะ,ทำไมอ่ะ,มาเป่าาา,ทำไรอ่า,เสดละ ,อายัย,ไม่ได้คบ,นครสวรรค์ 55555,คิดว่านะ,พึ่งตื่น,ที่บางใหญ๋,ไปมอป่ะ,ค้า,งง,เซง,อ่านะ - -,ฟิาส์ละ,มากับเน็ท?,มึงเาดละอ่อ,ช่ายยยๆ,อ่าา -3-,555 ดูดิๆ,อือ,จ้ะ 5555,นอนยัง,อิอิ,เห้ย,เด่วมา,นั่งเฉยๆ,ทำไมอะ,แหะๆ,แฮ่ๆ,ชอบก็ชอบ,อ่ะ,นอนล้าา,เง้ออออออออออออ ,โทดน้าาาาา,มึงงง,ได้ละ,*วาง,ฟิวส์ล่ะ,ค่าาาาาา,ช่าย,อ่าาาาเค,รุ้จักปะ,แหน่ะ,เด่วประก,ไมอะ,มันบอกว่า,เท่ดีอะ,ฝันดีพี่,ค่าบบ
ยาว|หน่อย,0.0729ปะ
แบงค์,อ่ออออออ
เล่น|จับ|หมู|เป็น|มั้ย,เปนนแหละ
เม|นั่นแหละ,อ่าวว
เฮอะ|พูด|ไร|ไม่เคย|ฟัง|โว,เอ้า
ไม่เห็น|ง่า,บ้านจ้า,โอเฟค่ะ,ไม่เอาๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,บังอาจจจ,เป้นรายย,มัยอ้ะ ?
ทำ|ไง|ก่อน|ครับ,นั่นดิ,ดีๆ
บ้าน|ฝน|ยุ|แถว|มอ|หรอ,ช่ายแล้วว~,เยียๆ,อือ,ป่าวอ่ะ,เปล่าค่ะ
ห้องอาบน้ำ|มอ|อ่ะ,ไหม
รอด|ฟรี|วัน|พุธ|อิอิ,อ๋ออ ถถถถ.,ยุไหน
พี่|คุย|บ้าง|ละ,อุ๋มหายย
คิดมาก|ไป,อ่านะ
ซื้อ|เซเว่น|เลย,กำ
อ่า|ลืม|ไป|ซะ|ละ,กำ,เอิ่มม,จ้า
เกียน|ได้ใจ|จิง,อีกอย่าง
โทษ|ทีละ|กัน,อ่าหะ
รีบ|มั้ย|นั่น,ไม่รีบๆ
พอ|จะ|เล่า|ให้|ฟังได้|ป่ะ,ถามทำไม
ดิ|หน้า|ว่า|จะ|ไป|คัดตัว,ว้าวววว
พน|ตื่น|โมง,อื้อ
เห็น|เป็น|บ่อย,ตลอดด 5555
ละ|ให้|ทำ|ไง,ทำงาน?! -0-?!?!,คอล
อย่า|พึ่ง|ท้อ|ละ|กัน,อ่าฮะ,รายยยอ่ะ,รู้สึก
อย่าง|อื่น|โอเค|หมด,ไรอะ
อืมม|เหมือน|โดน|ย้อน|เลย|แฮะ,ป่าวววววววววว
ตกลง|เห็น|ยัง|ล่ะ|นั่น,ไร
วันนี้|ทำ|โปรเจค|อย่าง|เดียว|ทั้งวัน,ใช่แหละ
เรียน|สาย|ป่ะ,อื้อ
กินข้าว|ยุ,กินไปดิ
น่าสน,เดียวนะ
ยัง|ยุ|สุรา|ไม่|คุ้ม|เลย,อ่าานะ,อือ,แง่วว,มา,ว่า,อ้ออออ
ก็|ว่า|ล่ะ,ว่าไรอะ
จะ|ไป|กัน|เยอะ|เลย|หรอ,ไม่ๆ
คำพูด|ที่|ใช้|ไม่เข้ากับ|หน้า|เลย,แง้ววว,พี่อะ,ไม่รุ้สิ
ไม่ทัน|แระ,ค้าบบบ
ช่วงนี้|ทำ|โปรเจค|ไร|อ่ะ,เล่นเฟสๆ,ไม่อ่า
จะ|ยิง|ยัง|เนี่ย,นอน
จะ|อี|โว|เลย,อีกแปปป
นั้น|เค้า|เรียน|แล้ว|เรอะ,งับ
ทำ|หน้า|ซะ,แฮ่
เดี๋ยว|พี่|มานะ,จ้าาา
รอด|กล้อง,เออๆ
โชว์|หน่อย,ไม่อาว 555
อืม|ได้|กิน|อะไร|บ้าง|ยัง,แร้วอ่ะ
ทำไม|อ่า|ชวน|ดู,ป่าว,เมไปเอา
สีส้ม|ที่|ไป|ซื้อ|ด้วยกัน|อ่ะ,ส้มพ่อง,อ้อออ
เยอะ|แล้ว|นะ,จ้าา
พี่|เห็น|แค่นั้น|ล่ะ,ไม่มี,ไปเหอะ
เพื่อน|ยิง|แม่นม,โหดจริงง
ยัง|เลย|ไกล|ได้|อีก,เพลียไหม
ต้อง|ใช้|เสื้อ|นศ.|อีก,อื้อ
เมื่อวาน|ไม่น่า|ไป|แซว|เลย,555 สม
เอ้|แล้วไป|ติว|ชม.|เดียว,สตงสติ 5555555+
ไหว้|ครู|พึ่ง|เสร็จ|เรอะ,ไม่ได้ไป
เทียบ|ซะ,แฮ่
ที่|ได้|อยู่|กัน,อ๋อ
ดอท|ตา|นุง,โฮๆ,ดอทเชี่ยไร,ทำไรๆ,ฮัลโหลดด,อืม,เห้ย,ไม่ใช่่,เล่นกีต้า,เคร ต้มมาม่ารอ,ป่าว,เจอป่ั,เออ ดีดี
ไป|เล่น|ทางโน้น|ป่ะ,ห้อง
ก็|หลาย|ครั่ง|ละ|ป่ะ,ไระ
ค่าย|ตรี|ที่ว่า|น่ะ,กำ
ลืม|ว่า|ส่ง|พน,จะเสดละ
ได้ยิน|แว่ว,นานหยัง
ตาม|อ่ะ,คือ
เห็น|ต้อง|ไป|พัก|ที่|หอ,อ่อออ
ตี|สี|ล่ะ,โห
ลอง|เน็ต|มือถือ|ยัง|อ่ะ,ลองละะ
แล้ว|นี่|ไม่|นอน|เร้อ,ยังๆ,ยังอะ,นั่นดิ 55555
แต่|นี้|ต้อง|เน้น|กระแทก,อะ
ก็|ยัง|รอด,น้อยสัส
ดอท|มา,เออแปป,เล่เลยๆ
มะ|ยัง|ไม่ได้|ยิน|อ่ะ,อื้อ
กลัว|อ้วน|นี่เอง,ฮ่าๆ
เปลี่ยน|เน็ต|ละ,อ่ะเคค
อ่า|เรื่อง|เชิง|ใช่|ป่ะ,อ่า
มี|งาน|กับ|เค้า|ด้วย|หรอ,ช่าย
งั้น|ก็|ส่วนเกิน|สิ|นะ,ไม่ใช่ง้านนน
ไม่|เหมือนกัน|แฮะ,อ้อเช,ขอลองแปบ,คืออ
พน|ฝาก|ปลุก|ด้วย|ได้|ป่ะ,ม่ายยยยย
แล้ว|ช่วงนี้|วิว|ทำ|อะไร|อ่ะ,มาขายของ
จิง|นี้|รวม|แปรงฟัน|แต่งตัว|ยัง,ยัง55555
หลุด|ป่าว,หลุด
เศร้า|ไม่มี|ที่นอน,โถ 
จ้า|จะ|รอด,มาละนะ
วันนี้|พี่|คงอยู่|ยาว|ยัน|เช้า,ทำไมอะ
ซอง|อย่าง|เดียว|เลย|อ่ะ,อ่าว
แปลง|ฟัน|ยั้ง,อือออออออออออออ
ริ้น|ชีส|เคมี|ยัง|อ่ะ,เหมือนกันนน,ยังเลย
เปลี่ยน|แนว,มันลำบาก
เออ|ใจ|แล่,จ้าา,จะไปละ
ปกติ|เรา|นอน|ไป|ก่อน|อ่ะ,ม่ายยยยย,อื้อออ
คนอื่น|จะ|คิด|ยังไง|ก็แล้วแต่|เค้า,แน่นอน
ถาม|ต่อ|จะ|กลับ|หึหึ,อารายยยย,ทำไมอ่ะ == ,ไวๆดิ,อาบน้ำละ,แล้ว ?,มาหงงงมาหึ,ทำไงง,หึหึ,อะไรน่ะ ,แง,หมู ไข่
เดี๋ยว|รู้|เลย,เหรอออ
ไม่เคย|มี,แล้วแตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตตต่
พัก|นึง,เก่าหละ
เฮ้อ|อ.|เสียดาย|เสา,เหรอออออ
ไม่งั้น|ถ่ายรูป|มา|ก็ได้,4 บท
แหมะ|รู้|ยุ,กระต่ายยยย,ทำแมะ,อะไรหรอ ?,เดียว บายเนียร์,ิฝันดีน้า^^,ลองไหม
เที่ยว|ไป|ไว้|ค่อย,อิอิ
ไป|เกลือ|บ้าน|ตา|แป๊ะ|เลย,ดี
แพ้|เอง,อะหรอ
เธอ|ชอบ|เถื่อน|โรคจิต,ป่าว,ตกใจ
เออ|ยุ|ไหน|ละ,บ้านค่า,หอ,หอ ,ที่เดิม,บ้าน,ซีบี4,บ้านร,มอค่า
หลาย|รูป|ได้|ละ,ดีๆ
ต้อง|บน|อ่ะ,โอเคๆ
กลางเดือน|ธันวา|อ่ะ,อืมม
รี|เดะ,อ่ออ
ก็ดี|อีก|แบบ,พี่
เอ่อ|โบ,ค้าๆๆ
กว่า|พี่|หมี|เพื่อน|เฉ|โป,รู้แล้วป้ะ,บอย ตรัยย,ก็แย่ละ
เอ้ย|แล่|ฟิ,อือ,แลปฟิ?,เหยดดด,ใช่ พ.ค.,ไม่มีๆ
ดู|เด็ก|ลง|ไป|อีกแล้ว,นั่นสิ
เออ|อาบน้ำ|ละ,อือ
มา|ลองดู|วิธี|กุ|มั้ย,ทำไง
ที่|สอน|มาก|โอเค,โอเค
พร้อม|ร้อง|แล้ว|เรอะ,ป่าว
ไม่เอา|หรอ|ลบ|ให้,ทำดีๆ
ชื่อ|อ.|มาย|ป่ะ,ใช่ๆ
คือ|อยู่|ข้าง|ที่สอง|ใบ,เศร้าาา
เรา|ยัง|ครั้ง|ได้|เอง,เทพมาก
หมายถึง|เข้า|ห้อง|แล้ว|พิมพ์|ป่ะ,ค้างหรอ...?,ป่าว
พี่|ว่า|ทุก|ตัว|อ่ะ,ไม่นะ,ออ
ร้าน|ไอติม|ปิดป่า,ไม่รุอ่าา
อ่าน|เสร็จ|ละ|เรียก|ด้วย|นะ,รับทราบ,ได้ค่าาา
ดู|หนัง|ไร|งี้|แหละ,อ๋อ ๆ
เห็น|สถานะ|หน้า|อ่า,555 เพ้อเจ้อ
ยัง|ไม่|แน่|เลย|ว่า|ไป,อ่าวว,เท่วไหน
เห็น|ทำ|ถอนหายใจ,ป่าววววว
วันนี้|เข้า|ป่ะ,เข้า
ฟัง|งง,โน้ววว
ทำการบ้าน|อาจาร|บ้าง|ยัง,ยังนะ,ทำแล้ว
ไม่มี|คำ|ว่า|เข้ากัน|เล้ย,นายแบบ 555
ผ่าน|นา|แระ,หูววว
มา|ให้|กอด|ก่อน,อาราย
จิ|ชวน|เที่ยว|ถ่ายรูป|เล่น|หน่อย,กุช้ำ
เออ|ฝิ่น|เสร็จ|ยัง,อีกหน่อย,ยังเลย
ร้อง|เก|กิน|ชีส,อื้อ
เห็น|ไม่|หลับ|ไป|สักที,ไล่อ่อ,ป่าวอ่ะ
กำ|ส่ง|วันนี้|หรอ,งง,ใช่ๆ
แต่|ไม่|ค่อย|ได้|ไป|หรอก,แหม่
วันนี้|หลับ|ไป|กี่|รอบ|ล่ะ,ไม่หร้อกกกก,เยอะอะ
จะ|ร้อง|ละ,มาๆ
เธอ|ไปดู|รายการ,จ้า
ฝ้าย|มี|พี่น้อง|กี่|คน|อ่ะ,1ครับ,1 คนค่า ^^,ครบละ,1คนอ่ะ
กีฬา|เฟรชชี่|หรอ,ไม่ใช่
หาย|ที่ไหน|อ่ะ,ที่ทำงาน
หมด|ตัก|ไป|เลย|ว่าง,ไม่ๆ
หมอ|ได้|บอก|อะไร|เพิ่ม|มั้ย,ก็บอก,นอนเล่น
มัน|ยัง|ลืมตา|ไม่ได้,เออสิคะ
ไม่เกี่ยว|เลย,เกี่ยว,เซ็งๆๆๆๆๆ 55555+
เกิน|เหอะ,อ่า
มา|เมื่อไหร่,เกมกาก
โอเค|เดี๋ยว|ลองดู,จ้า
ฮีโร่|ยัง|ไม่เต็มใจ,โอเครๆ
ที่อื่น|แนะนำ|ป่ะ,มิมีเลยยย
โอเค|ก็ดี,แต่
พรุ่งนี้|มี|ส่ง|อะไร|บ้าง|ป่ะ,ไม่มีเลย
นั่งเล่น|กีตาร์|ไป|แทน|ละ|กัน,อืม,ดูคอนอยุ่ 555
อ่า|จ้า,ไปไป้
สอน|ด้วย|นะ,ได้ๆ
คง|ขึ้น|แหละ,สาธุ
ก็|ปกติ|มา|วัน|อังคาร,ทำไม,อืม,อ้าว
ครั้ง|ละ|นะ,?จะไปไหนล้ะ
หมกมุ่น|จิง,ไรอะ
เค้า|กัน|หรอ,ใช้ๆ
เตรียม|หนี|เด๋ว|ยาว|ชัวร์,เอาเลยย
ไม่รู้|เหมือนกัน|อ่า,ค้าบ,อ่าๆ
ไม่|วงจร|เดะ,มานะ 5555
วันนี้|ไป|ไหน|มา|มั่ง|อ่ะ,ซื้อของ
หอ|เธอ|แหละ,ง่ะ
จะ|นอน|แล้ว|สิ|นะ|นั่น,ช่ายยยยยยยยย,ยังๆ,อ่าา,ไมอะ,ทำไม,พร้อมจ้า,แหม่,ใกล้แระ,ยังง,จะแล้ว,ช่ายย,จะนอนละ,ยังจ้าๆ,ยังจ้า
แค่|เรา|คิด|ต่างกัน,อือ
ไป|แทง|กัน|บ่าย,ขี้เกียจจ,ฟิวส์
ตามนั้น|อ่ะ,งงไง
ไม่ได้|เติม|ตัง|ด้วย,อืมมม
แล้ว|แอด|อ่ะ,รอแอด
มี|อะไร|ทำให้|ปาก|แดง|มั่ง,โอเค,ลิปติกไง
พร้อม|แข่ง|ต่อ|แล้ว|เรียก|มานะ,กูละหรรม,อ่าวหรอ
คง|ได้|อยาก|คุย|ไง,นอนๆ
ซ้อม|ทีม|เกม|ไป|แข่ง|แหะๆ,อ่านต่อๆ
เปิด|ออนไลน์|ยุ|แหะๆ,เล่นไง,จ้าาา
ไม่ต้อง|มา|เฮ้อ|เลย,หน่ะ,เซง,เอ้าาา
พี่|เชียร์|ว่า|ติด,โอเช 
แค่นั้น|ก็|โหด|ละ,เราพอได้
เห|ออ,หิวอ่ะ,อิอิ,จ้ะเอ๋
อ่า|ถ้า|เธอ|โอเค|ก็,ทำไม
เห็น|โทร|ไป|ก็|ไม่ได้,หลับ
อด|ยิม|เลย|อ่ะ|ดิ,ช่ายย,2คน
ไม่เคย|เรียน|อ่ะ,ตายแปป
กำลังจะ|อ่าน|ซอก,อ่า
กว่า|มา|เพราะ|เหมียว|ลาก,อ้าว
หิว|ก็,ผิดดิ
ไม่รู้|จัก|อ่า,อ่าวว
วันเกิด|ไอ้|ทอ|ไง,ได้ๆ,มาาา
เรื่อง|แนว|ไหน|อ่ะ,แนว,มังกร,แปปนะ
หนังสือ|อะไร|อ่ะ,มุนินอะ
ลาน|แดง|คน|เยอะ|แห,ชัวร์เลยยย 555555+,อาจจะ
ช่วงนี้|ได้|ไป|จับ|บ้าง|มะ,จับค่ะ 555+
มี|ชุบชีวิต|ด้วย,โหดจริง
มา|บริดจ์|ป่าว,คับ,ไปดิ,== โนน
เรา|หลุด|หรอ,อืม
โรแมนติก|ออก,ตายๆๆๆๆ
ดี|ทำดี,เนาะ
มา|เด่,สาด
จำเป็นต้อง|รู้|ป่ะ,ไม่ค่อย
ย่อย|ใน|ท้อง|เน่า|ละ|นั่น,ไม่55555,เลยปวด
ใช่|เวลา|ป่ะ,ทำไมอะ
หา|ง่าย|กว่า|ไง,เอาผญสิๆ
ไม่มี|ไร|ทำ,ฟิวว
ช่างกล้อง|ไม่|ผ่านๆ,หึหึ
หมายถึง|ที่|มี|ยุ|ตอนนี้|น่ะ,งง ฮ่าๆๆๆๆๆๆๆๆๆ
วันนี้|ไม่ไหว|ก็|พัก|ซะ|นะ,ไหวเด้
ก็|เขียน|เสร็จ|ละ|ไม่ใช่|หรอ,บ้า
นายร้อย,ค่ะ
เพราะ|เป็น|งา|นที|ขาย|แล้ว,ค่ะ
วันนี้|คาบ|เรียน|เต็ม|ป่ะ,ไม่มี,แย่โคดดดด,เรียนดิ่,ไม่ค่า
ก็|เล่น|ยุ|เหมือนกัน|ตอนนั้น,อ้อคร้า
ใช่|เหตุผล|มั้ย,ไม่รู้อะ
ก็|เหมือนเดิม|อ่ะ,อืม
ช่วงนี้|ไม่|ค่อย|ได้|ขับรถ,อือ สม,อื้อ
ก็|เวอร์|ปา,คู่ญอะ
ก็ได้|ไป|นอน,ม่าย 555
เรื่องจริง|จริง|ป่ะ|ถาม,อืม,มัว,จริง
ไม่แน่ใจ|นะ|ว่า|เฉพาะ|วิศวะ|ป่าว,อ่อออๆ
เกม|เศรษฐี,เยสส,ใช่ๆ 555
มา|ทำ|อะ|ไน|อ่ะ,ปรับอิ้งไง
ก็|เล่น|ได้|อ่ะ|ไม่|แล,2ชม. 9บาท,โห!!!
ติว|ซีก|จะ|ห้อย|นี่|ไง,มะกี้แมวพิม
หมายถึง|คน|ร้อง,ยุยจัง
พี่|หนู|ทำ|อะไร|ยุ|หรอ,เล่น,ดูทีวี,สแตติก,เคลียดจัง,เล่นคอม,นอนเล่น,นอน,ดูคุนชายย,ฟังเพลงๆ
ไพ่|ลา|ไง,ไม่อ่ะ 55
ซ้อม|ไป|เรียน|พน,งง
ดู|ตัวเอง|ก่อน|ดี|มั้ย,นั่นสิ,อยากไป
ที่|บอก|ไง,อา่วหรออ
อยู่|กับ|โอ|ป่ะ,อยุ
ให้|อดีต|ที่ผ่านมา|ผ่าน|มัน|ไป,ไม่
นอน|ต่อ|แระ|เซ,เกม,หลุกโครต,เห้อ,อือดิ,เซงไร,อ่าค่า,บาย,อือๆ
รับ|เพื่อน|ยัง,ให้ทำ,แล้ว
โพส|หมด|ละ,อิอิ
กิน|ยาย,ยังง
ฆ่า|ตัว|ใหญ่|ป่ะ,อ้อออออ
โรคกระเพาะ|ไส้ติ่ง,เออะ
ยุ|ฟิวเจอร์ปาร์ค|ถึง|กี่|โมง|อ่ะ,สัก บ่าย3
